Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Calculated Eta","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,"Current Port Unlocode"
Indonesia,WANDY,,"2017-10-10 01:00:00",BEKASI,,JAKARTA,0,Passenger,"2017-10-13 10:20:20",-6.124482,106.8925,IDJKT
Indonesia,"NGAGEL DADI",MAUMERE,"2016-06-14 07:42:00",MAUMERE,,JAKARTA,9531349,Tanker,"2016-06-11 17:52:38",-3.83748,127.9815,IDJKT
Indonesia,NW.FORTESCUE,,"1900-01-01 00:00:00","CAPUTRA DOCKYARD",,JAKARTA,0,Other,"2017-12-09 05:03:11",-6.119586,106.8143,IDJKT
Indonesia,"TBMAIDEN KITTY",,"2017-12-01 00:04:00",MARUNDA,,JAKARTA,0,Other,"2017-12-01 00:07:07",-6.08724,106.963,IDJKT
Indonesia,"ELANG SAMUDERA",,"2018-01-18 01:00:00","CNOOC OIL FIELD",,JAKARTA,8601020,"Special Craft","2017-06-03 10:55:16",-6.112514,106.8673,IDJKT
Indonesia,CAROLINE,JAKARTA,"2017-11-05 20:00:00",TG.PRIOK,,"JAKARTA ANCH",8317112,Cargo,"2017-05-31 06:41:54",-6.061035,106.8966,
Indonesia,"UJI COBA",,,"No data (CLASS B transponder)",,JAKARTA,0,"Pleasure Craft","2018-06-29 09:35:32",-6.137543,106.8085,IDJKT
Indonesia,"BUOY NO. 4",,,,,"JAKARTA ANCH",0,"Navigation Aid","2018-03-22 16:13:56",-6.057828,106.8867,
Indonesia,MPMT,,,,,"JAKARTA ANCH",0,"Navigation Aid","2018-04-24 08:29:31",-6.027807,106.882,
Indonesia,"BUOY NO.1",,,,,"JAKARTA ANCH",0,"Navigation Aid","2018-04-16 15:28:44",-6.046659,106.8769,
Indonesia,"BUOY NO. 5",,,,,"JAKARTA ANCH",0,"Navigation Aid","2018-04-16 10:25:08",-6.068322,106.8769,
Indonesia,"BUOY NO. 6",,,,,"JAKARTA ANCH",0,"Navigation Aid","2018-04-16 15:36:55",-6.068237,106.8867,
Indonesia,"ASIAN GAS",CILEGON,"2017-09-09 06:30:00","BOJONEGARA ANCHORAGE",,JAKARTA,9003990,Tanker,"2017-01-21 10:43:12",-6.12641,106.8857,IDJKT
Indonesia,"BUOY NO. 2",,,,,"JAKARTA ANCH",0,"Navigation Aid","2018-03-22 15:51:06",-6.046928,106.8867,
Indonesia,"BUOY NO. 3",,,,,"JAKARTA ANCH",0,"Navigation Aid","2018-03-22 16:13:55",-6.057852,106.8776,
Indonesia,KARAKATA,JAKARTA,"1900-01-01 00:00:00","TJ PRIOK",,JAKARTA,7301958,"Special Craft","2017-03-06 05:13:16",-6.118341,106.8652,IDJKT
Indonesia,"OSAM EAGLE",,"1900-01-01 00:00:00",,,JAKARTA,8131257,"Special Craft","2017-01-30 07:11:17",-6.10355,106.9089,IDJKT
Indonesia,"OCEAN SEARCHER",JAKARTA,"2021-09-12 08:00:00",JAKARTA,,JAKARTA,8717348,"Special Craft","2017-03-10 03:42:25",-6.119534,106.8144,IDJKT
Indonesia,"ART 215",BITUNG,"2017-12-12 12:12:00","JKT BITUNG",,JAKARTA,0,Cargo,"2017-05-11 12:07:52",-6.126458,106.8857,IDJKT
Indonesia,"KM.SEJAHTERA 20",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2017-04-05 19:55:52",-6.103518,106.814,IDJKT
Indonesia,"BANANG JAYA",BIMA,"2017-03-10 05:00:00",BIMA,,JAKARTA,7025657,Cargo,"2016-11-12 08:38:25",-6.085448,106.9578,IDJKT
Indonesia,JAJAL,,"1900-01-01 00:00:00",,,JAKARTA,0,Unspecified,"2017-04-22 04:48:22",-6.13429,106.8321,IDJKT
